1|San Juan|Metro|162|132|320967|5062020
2|Bayamon|Bayamon|50|59|170480|5062020
3|Vega Baja|Arecibo|8|14|50185|5062020
4|Mayaguez|Mayaguez|32|12|71986|5062020
5|Ponce|Ponce|28|26|133191|5062020
6|Manati|Arecibo|3|10|37393|5062020
